KEY,Russian,English,German,Italian,French,Spanish,Japanese,Korean,Chinesetrad,Chinesesimple,Portuguese
chest,Сундук,Chest,Brust,Petto,Poitrine,Pecho,胸,가슴,胸部,胸部,Peito
chest_descr,"В сундуке вы можете хранить различные предметы. Чтобы использовать сундук, разместите его на земле.","In the chest you can store a variety of items. To use the chest, place it on the ground.","In der Brust können Sie eine Vielzahl von Produkten zu speichern. Um die Brust zu verwenden, legen Sie es auf den Boden.","Nel petto è possibile memorizzare una varietà di oggetti. Per utilizzare il torace, posizionarlo sul terreno.","Dans le coffre, vous pouvez stocker une variété d'articles. Pour utiliser la poitrine, placez-le sur le sol.","En el pecho que puede almacenar una variedad de artículos. Para utilizar el pecho, colocarlo en el suelo.",胸では、様々なアイテムを格納することができます。胸を使用するには、地面の上に置きます。,"가슴에서는 다양한 아이템을 저장할 수 있습니다. 가슴을 사용하려면, 지상에 배치합니다.",在胸部可以存儲多種物品。要使用胸部，將其放置在地面上。,在胸部可以存储多种物品。要使用胸部，将其放置在地面上。,"No peito você pode armazenar uma grande variedade de itens. Para usar o peito, coloque-o no chão."
wood_resource,Дерево,Wood,Holz,Legna,Bois,Madera,木材,목재,木,木,Madeira
wood_resource_descr,Базовый ресурс для крафта,Basic resource for crafting,Grund Ressource zum Basteln,risorsa di base per la lavorazione,ressources de base pour l'artisanat,recurso básico para la elaboración de,クラフトのための基本的なリソース,공예의 기본 자원,為起草基本資源,为起草基本资源,recurso básico para a elaboração de
stone_resource,Камень,Stone,Stein,Pietra,Pierre,Piedra,石,돌,石,石,Pedra
stone_resource_descr,Базовый ресурс для крафта,Basic resource for crafting,Grund Ressource zum Basteln,risorsa di base per la lavorazione,ressources de base pour l'artisanat,recurso básico para la elaboración de,クラフトのための基本的なリソース,공예의 기본 자원,為起草基本資源,为起草基本资源,recurso básico para a elaboração de
fiber_resource,Волокно,Fiber,Faser,Fibra,Fibre,Fibra,ファイバ,섬유,纖維,纤维,Fibra
medicinal_plant,Лекарственное растение,Medicinal plant,Heilpflanze,pianta medicinale,plantes médicinales,Planta medicinal,薬用植物,약용 식물,藥用植物,药用植物,planta medicinal
fur,Мех,Fur,Pelz,Pelliccia,Fourrure,Pelaje,毛皮,모피,毛皮,毛皮,Pele
lead_ore,Свинцовая руда,Lead ore,Bleierz,minerale di piombo,Minerai de plomb,Mineral de plomo,鉛鉱石,납 광석,鉛礦,铅矿,minério de chumbo
leather,Кожа,Leather,Leder,Pelle,Cuir,Cuero,レザー,가죽,皮革,皮革,Couro
metal_ore,Металлическая руда,Metal ore,Metallerz,minerali metallici,minerai métallique,de minerales metálicos,金属鉱石,금속 광석,金屬礦,金属矿,minério metálico
stick,Ветка,Stick,Stock,Bacchetta,Bâton,Palo,スティック,스틱,棒,棒,Vara
sulfur_ore,Серная руда,Sulfur ore,Schwefel Erz,minerale di zolfo,minerai de soufre,mineral de sulfuro,硫黄鉱石,유황 광석,硫磺礦,硫磺矿,minério de enxofre
charcoal,Уголь,Charcoal,Holzkohle,Carbone,Charbon de bois,Carbón,木炭,숯,木炭,木炭,Carvão
charcoal_descr,,,,,,,,,,,
lead,Свинец,Lead,Führen,Condurre,Conduire,Dirigir,鉛,리드,鉛,铅,Conduzir
lead_descr,,,,,,,,,,,
metal,Метал,Metal,Metall,Metallo,Métal,Metal,金属,금속,金屬,金属,Metal
metal_descr,Базовый ресурс для крафта,Basic resource for crafting,Grund Ressource zum Basteln,risorsa di base per la lavorazione,ressources de base pour l'artisanat,recurso básico para la elaboración de,クラフトのための基本的なリソース,공예의 기본 자원,為起草基本資源,为起草基本资源,recurso básico para a elaboração de
rope,Веревка,Rope,Seil,Corda,Corde,Cuerda,ロープ,로프,繩,绳,Corda
rope_descr,Веревку можно изготовить из волокна. Используется для создания многих предметов.,The rope can be made of fibers. Used to create many objects.,"Das Seil kann aus Fasern hergestellt sein. Wird verwendet, um viele Objekte erstellen.",La corda può essere fatto di fibre. Utilizzato per creare molti oggetti.,La corde peut être faite de fibres. Utilisé pour créer de nombreux objets.,La cuerda puede estar hecho de fibras. Se utiliza para crear muchos objetos.,ロープは、繊維から作ることができます。多くのオブジェクトを作成するために使用します。,밧줄은 섬유로 제조 될 수있다. 많은 객체를 생성하는 데 사용됩니다.,繩可以由纖維。用於創建許多對象。,绳可以由纤维。用于创建许多对象。,A corda pode ser feito de fibras. Usado para criar muitos objetos.
sulfur,Сера,Sulfur,Schwefel,Zolfo,Soufre,Azufre,硫黄,황,硫,硫,Enxofre
sulfur_descr,,,,,,,,,,,
fat,Жир,Fat,Fett,Grasso,Graisse,Grasa,脂肪,지방,脂肪,脂肪,Gordo
bottle_water,Вода,Water,Wasser,acqua,Eau,Agua,水,물,水,水,água
bottle_water_descr,Утоляет жажду,Quenches thirst,Durst,disseta,désaltère,quita la sed,喉の渇きをクエンチ,갈증을,止渴,止渴,sacia a sede
soda,Chorry-Cola,Chorry-Cola,Chorry-Cola,Chorry-Cola,Chorry-Cola,Chorry-Cola,Chorry-Cola,Chorry-Cola,Chorry-Cola,Chorry-Cola,Chorry-Cola
soda_descr,Утоляет жажду,Quenches thirst,Durst,disseta,désaltère,quita la sed,喉の渇きをクエンチ,갈증을,止渴,止渴,sacia a sede
chocolate,Шоколад,Chocolate,Schokolade,Cioccolato,Chocolat,Chocolate,チョコレート,초콜릿,巧克力,巧克力,Chocolate
chocolate_descr,Утоляет голод,Quenches hunger,stillt Hunger,placa la fame,désaltère la faim,Sacia el hambre,空腹をクエンチ,굶주림을 소멸,淬火飢餓,淬火饥饿,sacia a fome
gunpowder,Порох,Gunpowder,Schießpulver,Polvere da sparo,Poudre à canon,Pólvora,火薬,화약,火藥,火药,Pólvora
gunpowder_descr,Используется для создания патронов,It is used to create bullets,"Es wird verwendet, Kugeln zu schaffen",E 'utilizzato per creare proiettili,Il est utilisé pour créer des puces,Se utiliza para crear balas,箇条書きを作成するために使用されます,총알을 만드는 데 사용됩니다,它被用來創建子彈,它被用来创建子弹,Ele é usado para criar balas
weapon_descr,Используется для атаки противника и добычи ресурсов.,"Used to attack the enemy, and resource extraction.","Verwendet, um den Feind zu attackieren, und Extraktion Ressourcen.","Utilizzato per attaccare il nemico, di risorse e di estrazione.","Utilisé pour attaquer l'ennemi, et l'extraction des ressources.","Se utiliza para atacar al enemigo, y la extracción de recursos.",敵、およびリソースの抽出を攻撃するために使用します。,"적을 공격하고, 추출을 자원하는 데 사용됩니다.",用於攻擊敵人，資源開採。,用于攻击敌人，资源开采。,"Usado para atacar o inimigo, e extração do recurso."
small_stone_hatchet,Малый Каменный топор,Small Stone hatchet,Small Stone Beil,Piccola ascia di pietra,Small Stone hachette,Pequeña hacha de piedra,小さな石の斧,작은 돌 도끼,小石頭前嫌,小石头前嫌,machado de pedra pequena
stone_hatchet,Каменный топор,Stone hatchet,Stein Beil,ascia di pietra,hache de pierre,hacha de piedra,石の斧,돌 도끼,石前嫌,石前嫌,machado de pedra
stone_hatchet_descr,Используется для рубки деревьев и атаки противнкиков. Быстро ломается и не наносит большого урона.,Used for felling trees and attack opponents. Quickly breaks down and does not cause much damage.,Wird für die Bäume zu fällen und Gegner angreifen. Schnell bricht und nicht viel Schaden anrichten.,Utilizzato per abbattere gli alberi e gli avversari di attacco. rompe rapidamente verso il basso e non provoca molti danni.,Utilisé pour l'abattage des arbres et des adversaires d'attaque. se décompose rapidement et ne provoque pas beaucoup de dégâts.,Se utiliza para la tala de árboles y opositores de ataque. se descompone rápidamente y no causa tanto daño.,伐採木や攻撃相手のために使用されます。迅速に分解し、多くの被害が発生することはありません。,벌목 나무와 공격 상대에 사용됩니다. 신속하게 분해 및 많은 피해가 발생하지 않습니다.,經常用來伐樹和攻擊對手。迅速分解，不會造成太大的傷害。,经常用来伐树和攻击对手。迅速分解，不会造成太大的伤害。,Usado para derrubar árvores e opositores de ataque. quebra rapidamente para baixo e não causar muito dano.
metal_hatchet,Металлический топор,Metal hatchet,Metall-Beil,ascia di guerra metallo,hache de métal,hacha de metal,メタル手斧,금속 도끼,金屬前嫌,金属前嫌,machado de metal
metal_hatchet_descr,Используется для рубки деревьев и атаки противников. Имеет хорошую прочность и наносит средний урон.,Used for felling trees and attack opponents. It has good strength and does moderate damage.,Wird für die Bäume zu fällen und Gegner angreifen. Es hat eine gute Festigkeit und tut mäßigen Schaden.,Utilizzato per abbattere gli alberi e gli avversari di attacco. Ha una buona resistenza e fa danni moderati.,Utilisé pour l'abattage des arbres et des adversaires d'attaque. Il a une bonne force et fait des dégâts modérés.,Se utiliza para la tala de árboles y opositores de ataque. Tiene una buena resistencia y hace un daño moderado.,伐採木や攻撃相手のために使用されます。これは、良好な強度を有しており、適度なダメージを与えます。,벌목 나무와 공격 상대에 사용됩니다. 그것은 좋은 강도가 중간 정도 피해를 않습니다.,經常用來伐樹和攻擊對手。它具有良好的強度和不中度破壞。,经常用来伐树和攻击对手。它具有良好的强度和不中度破坏。,Usado para derrubar árvores e opositores de ataque. Ele tem boa resistência e faz danos moderados.
stone_pick,Каменная кирка,Stone pick,Stein Pick,scelta di pietra,Pierre choix,selección de piedra,ストーンピック,돌 선택,斯通挑,斯通挑,picareta de pedra
stone_pick_descr,"Используется для добычи ресурсов из камней, а также для атаки противника. Быстро ломается и не наносит большого урона.","It is used for the extraction of resources from the stones, as well as to attack the enemy. Quickly breaks down and does not cause much damage.","Es ist für die Gewinnung von Ressourcen aus den Steinen verwendet, sowie um den Feind zu attackieren. Schnell bricht und nicht viel Schaden anrichten.","Viene utilizzato per l'estrazione di risorse dalle pietre, nonché per attaccare il nemico. rompe rapidamente verso il basso e non provoca molti danni.","Il est utilisé pour l'extraction des ressources à partir des pierres, ainsi que pour attaquer l'ennemi. se décompose rapidement et ne provoque pas beaucoup de dégâts.","Se utiliza para la extracción de los recursos de las piedras, así como para atacar al enemigo. se descompone rápidamente y no causa tanto daño.",これは、石からの資源の抽出のために使用されるだけでなく、敵を攻撃します。迅速に分解し、多くの被害が発生することはありません。,"그것은 돌 자원 추출을 위해 사용되며,뿐만 아니라 적을 공격. 신속하게 분해 및 많은 피해가 발생하지 않습니다.",它是用於資源從石頭提取，以及攻擊敵人。迅速分解，不會造成太大的傷害。,它是用于资源从石头提取，以及攻击敌人。迅速分解，不会造成太大的伤害。,"É usado para a extracção de recursos das pedras, bem como para atacar o inimigo. quebra rapidamente para baixo e não causar muito dano."
metal_pick,Металлическая кирка,Metal pick,Metalltonarm,selezionamento metallo,choix du métal,recogida de metales,メタルピック,금속 선택,金屬挑,金属挑,picareta do metal
metal_pick_descr,"Используется для добычи ресурсов из камней, а также для атаки противника. Имеет хорошую прочность и наносит средний урон.","It is used for the extraction of resources from the stones, as well as to attack the enemy. It has good strength and does moderate damage.","Es ist für die Gewinnung von Ressourcen aus den Steinen verwendet, sowie um den Feind zu attackieren. Es hat eine gute Festigkeit und tut mäßigen Schaden.","Viene utilizzato per l'estrazione di risorse dalle pietre, nonché per attaccare il nemico. Ha una buona resistenza e fa danni moderati.","Il est utilisé pour l'extraction des ressources à partir des pierres, ainsi que pour attaquer l'ennemi. Il a une bonne force et fait des dégâts modérés.","Se utiliza para la extracción de los recursos de las piedras, así como para atacar al enemigo. Tiene una buena resistencia y hace un daño moderado.",これは、石からの資源の抽出のために使用されるだけでなく、敵を攻撃します。これは、良好な強度を有しており、適度なダメージを与えます。,"그것은 돌 자원 추출을 위해 사용되며,뿐만 아니라 적을 공격. 그것은 좋은 강도가 중간 정도 피해를 않습니다.",它是用於資源從石頭提取，以及攻擊敵人。它具有良好的強度和不中度破壞。,它是用于资源从石头提取，以及攻击敌人。它具有良好的强度和不中度破坏。,"É usado para a extracção de recursos das pedras, bem como para atacar o inimigo. Ele tem boa resistência e faz danos moderados."
knife,Нож,Knife,Messer,Coltello,Couteau,Cuchillo,ナイフ,칼,刀,刀,Faca
knife_descr,Используется для срезания кустов и атаки противников. Имеет хорошую прочность и наносит средний урон.,It is used for cutting bushes and attack opponents. It has good strength and does moderate damage.,Es ist zum Schneiden von Büschen und Gegner angreifen verwendet. Es hat eine gute Festigkeit und tut mäßigen Schaden.,E 'utilizzato per il taglio di cespugli e gli avversari di attacco. Ha una buona resistenza e fa danni moderati.,Il est utilisé pour les buissons et les adversaires d'attaque de coupe. Il a une bonne force et fait des dégâts modérés.,Se utiliza para el corte de arbustos y opositores de ataque. Tiene una buena resistencia y hace un daño moderado.,これは、ブッシュと攻撃相手を切断するために使用されます。これは、良好な強度を有しており、適度なダメージを与えます。,그것은 숲과 공격 상대를 절단하는 데 사용됩니다. 그것은 좋은 강도가 중간 정도 피해를 않습니다.,它被用於切割灌木和攻擊對手。它具有良好的強度和不中度破壞。,它被用于切割灌木和攻击对手。它具有良好的强度和不中度破坏。,Ele é usado para arbustos e adversários ataque de corte. Ele tem boa resistência e faz danos moderados.
stone_knife,Каменный Нож,Stone Knife,Steinmesser,coltello di pietra,Knife Pierre,cuchillo de piedra,ストーンナイフ,돌 칼,石刀,石刀,Faca de pedra
stone_knife_descr,Используется для срезания кустов и атаки противников. Быстро ломается и не наносит большого урона,It is used for cutting bushes and attack opponents. Quickly breaks down and does not cause much damage.,Es ist zum Schneiden von Büschen und Gegner angreifen verwendet. Schnell bricht und nicht viel Schaden anrichten.,E 'utilizzato per il taglio di cespugli e gli avversari di attacco. rompe rapidamente verso il basso e non provoca molti danni.,Il est utilisé pour les buissons et les adversaires d'attaque de coupe. se décompose rapidement et ne provoque pas beaucoup de dégâts.,Se utiliza para el corte de arbustos y opositores de ataque. se descompone rápidamente y no causa tanto daño.,これは、ブッシュと攻撃相手を切断するために使用されます。迅速に分解し、多くの被害が発生することはありません。,그것은 숲과 공격 상대를 절단하는 데 사용됩니다. 신속하게 분해 및 많은 피해가 발생하지 않습니다.,它被用於切割灌木和攻擊對手。迅速分解，不會造成太大的傷害。,它被用于切割灌木和攻击对手。迅速分解，不会造成太大的伤害。,Ele é usado para arbustos e adversários ataque de corte. quebra rapidamente para baixo e não causar muito dano.
crowbar,Лом,Crowbar,Brecheisen,Piede di porco,Crowbar,Palanca,クローバー,바,撬棍,撬棍,Pé de cabra
torch,Факел,Torch,Fackel,Torcia,Torche,Antorcha,トーチ,토치,火炬,火炬,Tocha
torch_descr,Используется для освещения в ночи.,Used for lighting at night.,Wird für die in der Nacht beleuchtet.,Usato per l'illuminazione di notte.,Utilisé pour l'éclairage de nuit.,Utilizados para el alumbrado por la noche.,夜間照明に使用。,밤에 조명에 사용됩니다.,用於夜間照明。,用于夜间照明。,Utilizados na iluminação à noite.
mace,Булава,Mace,Keule,Mazza,masse,Mazo,メース,메이스,錘,锤,clava
catana,Катана,Catana,Catana,Catana,Catana,Catana,カタネ,Catana,卡塔納,卡塔纳,Catana
catana_descr,Используется для срезания кустов и атаки противников. Имеет высокую прочность и наносит сильный урон.,It is used for cutting bushes and attack opponents. It has high strength and causing heavy damage.,Es ist zum Schneiden von Büschen und Gegner angreifen verwendet. Es hat eine hohe Festigkeit und verursacht schwere Schäden.,E 'utilizzato per il taglio di cespugli e gli avversari di attacco. Ha alta resistenza e causando gravi danni.,Il est utilisé pour les buissons et les adversaires d'attaque de coupe. Il a une haute résistance et causant de lourds dommages.,Se utiliza para el corte de arbustos y opositores de ataque. Tiene una alta resistencia y causando graves daños.,これは、ブッシュと攻撃相手を切断するために使用されます。これは、高い強度と重いダメージを与えることがあります。,그것은 숲과 공격 상대를 절단하는 데 사용됩니다. 그것은 높은 강도와 ​​무거운 손상을 초래 있습니다.,它被用於切割灌木和攻擊對手。它具有高強度，造成嚴重的損害。,它被用于切割灌木和攻击对手。它具有高强度，造成严重的损害。,Ele é usado para arbustos e adversários ataque de corte. Tem alta resistência e causando danos pesados.
machete,Мачете,Machete,Machete,macete,Machette,Machete,マチェーテ,칼,彎刀,弯刀,Machete
machete_descr,Используется для срезания кустов и атаки противников. Имеет хорошую прочность и наносит средний урон.,It is used for cutting bushes and attack opponents. It has good strength and does moderate damage.,Es ist zum Schneiden von Büschen und Gegner angreifen verwendet. Es hat eine gute Festigkeit und tut mäßigen Schaden.,E 'utilizzato per il taglio di cespugli e gli avversari di attacco. Ha una buona resistenza e fa danni moderati.,Il est utilisé pour les buissons et les adversaires d'attaque de coupe. Il a une bonne force et fait des dégâts modérés.,Se utiliza para el corte de arbustos y opositores de ataque. Tiene una buena resistencia y hace un daño moderado.,これは、ブッシュと攻撃相手を切断するために使用されます。これは、良好な強度を有しており、適度なダメージを与えます。,그것은 숲과 공격 상대를 절단하는 데 사용됩니다. 그것은 좋은 강도가 중간 정도 피해를 않습니다.,它被用於切割灌木和攻擊對手。它具有良好的強度和不中度破壞。,它被用于切割灌木和攻击对手。它具有良好的强度和不中度破坏。,Ele é usado para arbustos e adversários ataque de corte. Ele tem boa resistência e faz danos moderados.
bow,Лук,Bow,Bogen,Arco,Arc,Arco,弓,활,弓,弓,Arco
bow_descr,Оружие дальнего боя. Используется для охоты на животных. Наносит средний урон.,Ranged Weapon. It is used for hunting animals. Deals moderate damage.,Distanzwaffe. Es wird für die Jagd auf Tiere verwendet. Angebote moderieren Schaden.,Armi a distanza. E 'utilizzato per la caccia gli animali. Offerte moderate danni.,Arme à distance. Il est utilisé pour la chasse aux animaux. Offres modérées dommages.,Arma a distancia. Se utiliza para la caza de animales. Ofertas de moderar los daños.,射撃武器。これは、狩猟動物のために使用されます。適度なダメージを与えます。,원거리 무기. 그것은 동물을 사냥하는 데 사용됩니다. 상품의 손상을 완화.,遠程武器。它用於狩獵動物。優惠中度破壞。,远程武器。它用于狩猎动物。优惠中度破坏。,Arma à Distância. Ele é usado para caçar animais. Causa dano moderado.
arrow,Стрела,Arrow,Pfeil,Freccia,Flèche,Flecha,矢印,화살,箭頭,箭头,Flecha
arrow_descr,Используется для стрельбы из лука.,It is used for archery.,Es ist für Bogenschießen verwendet.,E 'usato per tiro con l'arco.,Il est utilisé pour tir à l'arc.,Se utiliza para el tiro con arco.,これは、アーチェリーのために使用されます。,이 양궁에 사용됩니다.,它是用於射箭。,它是用于射箭。,É usado para o tiro com arco.
fire_weapon,Используется для атаки противника с расстояния,Used to attack the enemy from a distance,"Verwendet, um den Feind aus der Ferne angreifen",Utilizzato per attaccare il nemico a distanza,Utilisé pour attaquer l'ennemi à distance,Se utiliza para atacar al enemigo desde una distancia,遠くから敵を攻撃するために使用します,거리에서 적을 공격하는 데 사용,用於從遠處攻擊敵人,用于从远处攻击敌人,Usado para atacar o inimigo a uma distância
shotgun,Дробовик,Shotgun,Schrotflinte,fucile da caccia,Fusil à pompe,Escopeta,散弾銃,산탄 총,滑膛槍,滑膛枪,Espingarda
dragunov_sniper_rifle,Снайперская винтовка Драгунова,Dragunov sniper rifle,Dragunov Scharfschützengewehr,SVD Dragunov,fusil de sniper Dragunov,Fusil de francotirador Dragunov,ドラグノフ狙撃銃,드라구노프 저격 소총,德拉古諾夫狙擊步槍,德拉古诺夫狙击步枪,Dragunov
revolver,Револьвер,Revolver,Revolver,rivoltella,Revolver,Revólver,リボルバー,리볼버,左輪手槍,左轮手枪,Revólver
weapon_pack,Оружейный набор,Weapon pack,Waffen Pack,Weapon Pack,Pack d'armes,lote de armas,ウェポンパック,무기 팩,武器包,武器包,pacote de arma
weapon_pack_descr,"Легендарный револьвер Клинта Иствуда, снайперская винтовка Драгунова, пулемет Томпсона и дробовик в одном наборе!","Legendary Clint Eastwood revolver, Dragunov's sniper rifle, Thompson's machine gun and shotgun in one pack!","Legendary Revolver Clint Eastwood, Dragunov des Scharfschützengewehr, Thompson-Maschinengewehr und Schrotflinte in einem Satz!","Revolver leggendario Clint Eastwood, Fucile da Cecchino di Dragunov, mitragliatrice Thompson e fucile da caccia dans un Pacchetto!","Revolver légendaire Clint Eastwood, fusil de sniper de Dragunov, la mitrailleuse de Thompson et fusil de chasse dans un paquet!","Revólver legendario Clint Eastwood, rifle de francotirador Dragunov de, la ametralladora Thompson y una escopeta en un solo paquete!",伝説のリボルバークリント・イーストウッド、ドラグノフのスナイパーライフル、1パックでトンプソンの機関銃と散弾銃,"전설적인 리볼버 클린트 이스트우드, Dragunov의 저격 소총, 하나의 팩 톰슨 기관총 및 엽총",傳說中的左輪手槍克林特·伊斯特伍德，德拉古諾夫的狙擊步槍，湯普森機槍和獵槍在一個包,传说中的左轮手枪克林特·伊斯特伍德，德拉古诺夫的狙击步枪，汤普森机枪和猎枪在一个包,"revolver lendário Clint Eastwood, rifle sniper de Dragunov, metralhadora Thompson e espingarda em um pacote"
water_quality,Качество воды,Water quality,Wasserqualität,qualità Dell'Acqua,La qualité d'eau,Calidad del agua,水質,수질,水質,水质,Qualidade da água
glock_17,Glock-17,Glock-17,Glock-17,Glock-17,Glock-17,Glock-17,Glock-17,Glock-17,Glock-17,Glock-17,Glock-17
